Timestamp,Frequency_MHz,Power_dB
2025-04-27_02-51-20,913.800,24.74
2025-04-27_02-51-20,913.800,12.84
2025-04-27_02-51-20,913.800,22.51
2025-04-27_02-51-21,913.800,19.34
2025-04-27_02-51-21,913.800,14.78
2025-04-27_02-51-21,913.800,8.87
2025-04-27_02-51-22,913.800,24.57
2025-04-27_02-51-22,913.800,26.51
2025-04-27_02-51-23,913.800,26.89
2025-04-27_02-51-23,913.800,24.48
2025-04-27_02-51-23,913.800,24.69
2025-04-27_02-51-24,913.800,21.38
2025-04-27_02-51-24,913.800,15.39
2025-04-27_02-51-24,913.800,14.98
2025-04-27_02-51-25,913.800,9.13
2025-04-27_02-51-25,913.800,23.09
2025-04-27_02-51-26,913.800,22.74
2025-04-27_02-51-26,913.800,22.65
2025-04-27_02-51-33,913.800,17.63
2025-04-27_02-51-33,913.800,24.43
2025-04-27_02-51-34,913.800,13.28
2025-04-27_02-51-34,913.800,18.65
2025-04-27_02-51-35,913.800,28.16
2025-04-27_02-51-35,913.800,24.05
2025-04-27_02-51-35,913.800,16.57
2025-04-27_02-51-36,913.800,23.19
2025-04-27_02-51-36,913.800,20.23
2025-04-27_02-51-36,913.800,24.35
2025-04-27_02-51-37,913.800,23.36
2025-04-27_02-51-37,913.800,24.77
2025-04-27_02-51-38,913.800,26.43
2025-04-27_02-51-38,913.800,21.85
2025-04-27_02-51-38,913.800,10.63
2025-04-27_02-51-39,913.800,31.15
2025-04-27_02-51-39,913.800,14.45
2025-04-27_02-51-39,913.800,17.33
2025-04-27_02-51-40,913.800,19.92
2025-04-27_02-51-40,913.800,19.87
2025-04-27_02-51-41,913.800,22.16
2025-04-27_02-51-41,913.800,21.20
2025-04-27_02-51-41,913.800,25.40
2025-04-27_02-51-42,913.800,24.98
2025-04-27_02-51-42,913.800,18.28
2025-04-27_02-51-42,913.800,15.05
2025-04-27_02-51-43,913.800,15.01
2025-04-27_02-51-43,913.800,21.47
2025-04-27_02-51-44,913.800,14.79
2025-04-27_02-51-44,913.800,19.98
2025-04-27_02-51-44,913.800,30.76
2025-04-27_02-51-45,913.800,27.69
2025-04-27_02-51-45,913.800,16.73
2025-04-27_02-51-45,913.800,21.70
2025-04-27_02-51-46,913.800,24.82
2025-04-27_02-51-46,913.800,15.83
2025-04-27_02-51-47,913.800,15.60
2025-04-27_02-51-47,913.800,24.42
2025-04-27_02-51-47,913.800,24.18
2025-04-27_02-51-48,913.800,27.02
2025-04-27_02-51-48,913.800,20.03
2025-04-27_02-51-48,913.800,18.90
2025-04-27_02-51-49,913.800,25.49
2025-04-27_02-51-49,913.800,22.81
2025-04-27_02-51-50,913.800,24.09
2025-04-27_02-51-50,913.800,23.07
2025-04-27_02-51-50,913.800,21.16
2025-04-27_02-51-51,913.800,11.34
2025-04-27_02-51-51,913.800,25.60
2025-04-27_02-51-51,913.800,21.92
2025-04-27_02-51-52,913.800,31.98
2025-04-27_02-51-52,913.800,29.26
2025-04-27_02-51-53,913.800,18.60
2025-04-27_02-51-53,913.800,28.12
2025-04-27_02-51-53,913.800,15.70
2025-04-27_02-52-02,913.800,24.24
2025-04-27_02-52-02,913.800,24.97
2025-04-27_02-52-03,913.800,24.42
2025-04-27_02-52-03,913.800,14.18
2025-04-27_02-52-03,913.800,18.15
2025-04-27_02-52-04,913.800,21.93
2025-04-27_02-52-04,913.800,22.07
2025-04-27_02-52-05,913.800,9.69
2025-04-27_02-52-05,913.800,23.10
2025-04-27_02-52-05,913.800,13.85
2025-04-27_02-52-06,913.800,21.62
2025-04-27_02-52-06,913.800,24.40
2025-04-27_02-52-06,913.800,9.50
2025-04-27_02-52-07,913.800,24.49
2025-04-27_02-52-07,913.800,29.33
2025-04-27_02-52-08,913.800,25.91
2025-04-27_02-52-08,913.800,19.25
2025-04-27_02-52-08,913.800,17.77
2025-04-27_02-52-09,913.800,-6.91
2025-04-27_02-52-09,913.800,22.29
2025-04-27_02-52-09,913.800,20.65
2025-04-27_02-52-10,913.800,24.19
2025-04-27_02-52-10,913.800,29.91
2025-04-27_02-52-11,913.800,19.38
2025-04-27_02-52-11,913.800,22.85
2025-04-27_02-52-11,913.800,19.20
2025-04-27_02-52-12,913.800,17.82
2025-04-27_02-52-12,913.800,21.85
2025-04-27_02-52-13,913.800,21.34
2025-04-27_02-52-13,913.800,17.49
2025-04-27_02-52-13,913.800,15.77
2025-04-27_02-52-14,913.800,13.43
2025-04-27_02-52-14,913.800,25.00
2025-04-27_02-52-14,913.800,28.44
2025-04-27_02-52-15,913.800,22.72
2025-04-27_02-52-15,913.800,23.31
2025-04-27_02-52-16,913.800,12.84
2025-04-27_02-52-16,913.800,23.57
2025-04-27_02-52-16,913.800,30.54
2025-04-27_02-52-17,913.800,22.75
2025-04-27_02-52-17,913.800,-17.06
2025-04-27_02-52-18,913.800,18.48
2025-04-27_02-52-18,913.800,29.30
2025-04-27_02-52-18,913.800,16.02
2025-04-27_02-52-19,913.800,19.22
2025-04-27_02-52-19,913.800,19.28
2025-04-27_02-52-19,913.800,19.55
2025-04-27_02-52-20,913.800,12.60
2025-04-27_02-52-20,913.800,25.23
2025-04-27_02-52-21,913.800,23.12
2025-04-27_02-52-21,913.800,20.49
2025-04-27_02-52-21,913.800,27.18
2025-04-27_02-52-22,913.800,18.46
2025-04-27_02-52-22,913.800,20.41
2025-04-27_02-52-23,913.800,-2.00
2025-04-27_02-52-23,913.800,14.07
2025-04-27_02-52-23,913.800,24.59
2025-04-27_02-52-24,913.800,19.23
2025-04-27_02-52-24,913.800,22.55
2025-04-27_02-52-25,913.800,18.31
2025-04-27_02-52-25,913.800,15.81
2025-04-27_02-52-35,913.800,17.60
2025-04-27_02-52-35,913.800,21.50
2025-04-27_02-52-36,913.800,19.07
2025-04-27_02-52-36,913.800,20.47
2025-04-27_02-52-37,913.800,30.79
2025-04-27_02-52-37,913.800,-11.14
2025-04-27_02-52-37,913.800,9.74
2025-04-27_02-52-38,913.800,25.68
2025-04-27_02-52-38,913.800,26.85
2025-04-27_02-52-39,913.800,21.72
2025-04-27_02-52-39,913.800,29.93
2025-04-27_02-52-39,913.800,28.66
2025-04-27_02-52-40,913.800,16.26
2025-04-27_02-52-40,913.800,27.16
2025-04-27_02-52-40,913.800,21.49
2025-04-27_02-52-41,913.800,18.63
2025-04-27_02-52-41,913.800,24.23
2025-04-27_02-52-42,913.800,20.69
2025-04-27_02-52-42,913.800,10.86
2025-04-27_02-52-42,913.800,25.94
2025-04-27_02-52-43,913.800,23.01
2025-04-27_02-52-43,913.800,23.05
2025-04-27_02-52-44,913.800,23.50
2025-04-27_02-52-44,913.800,23.77
2025-04-27_02-52-44,913.800,20.24
2025-04-27_02-52-45,913.800,33.76
2025-04-27_02-52-45,913.800,27.00
2025-04-27_02-52-46,913.800,24.73
2025-04-27_02-52-46,913.800,24.99
2025-04-27_02-52-46,913.800,17.01
2025-04-27_02-52-47,913.800,20.60
2025-04-27_02-52-47,913.800,26.33
2025-04-27_02-52-48,913.800,21.97
2025-04-27_02-52-48,913.800,18.20
2025-04-27_02-52-48,913.800,19.84
2025-04-27_02-52-49,913.800,20.35
2025-04-27_02-52-49,913.800,26.62
2025-04-27_02-52-50,913.800,19.50
2025-04-27_02-52-50,913.800,21.29
2025-04-27_02-52-50,913.800,17.47
2025-04-27_02-52-51,913.800,17.70
2025-04-27_02-52-51,913.800,22.94
2025-04-27_02-52-51,913.800,22.02
2025-04-27_02-52-52,913.800,17.20
2025-04-27_02-52-52,913.800,21.65
2025-04-27_02-52-53,913.800,14.37
2025-04-27_02-52-53,913.800,19.26
2025-04-27_02-52-53,913.800,14.01
2025-04-27_02-52-54,913.800,10.55
2025-04-27_02-52-54,913.800,25.37
2025-04-27_02-52-55,913.800,19.33
2025-04-27_02-52-55,913.800,22.49
2025-04-27_02-52-55,913.800,25.25
2025-04-27_02-52-56,913.800,24.32
2025-04-27_02-52-56,913.800,19.95
2025-04-27_02-52-57,913.800,18.26
2025-04-27_02-52-57,913.800,-1.39
2025-04-27_02-52-57,913.800,22.69
2025-04-27_02-52-58,913.800,23.12
2025-04-27_02-52-58,913.800,18.78
2025-04-27_02-52-59,913.800,29.93
2025-04-27_02-52-59,913.800,19.88
2025-04-27_02-52-59,913.800,15.70
2025-04-27_02-53-00,913.800,19.49
2025-04-27_02-53-00,913.800,12.91
2025-04-27_02-53-01,913.800,18.14
2025-04-27_02-53-13,913.800,17.43
2025-04-27_02-53-13,913.800,19.04
2025-04-27_02-53-13,913.800,15.27
2025-04-27_02-53-14,913.800,25.56
2025-04-27_02-53-14,913.800,29.43
2025-04-27_02-53-15,913.800,16.30
2025-04-27_02-53-15,913.800,20.16
2025-04-27_02-53-15,913.800,23.52
2025-04-27_02-53-16,913.800,16.98
2025-04-27_02-53-16,913.800,15.05
2025-04-27_02-53-17,913.800,19.45
2025-04-27_02-53-17,913.800,17.96
2025-04-27_02-53-17,913.800,22.23
2025-04-27_02-53-18,913.800,21.06
2025-04-27_02-53-18,913.800,15.74
2025-04-27_02-53-19,913.800,15.57
2025-04-27_02-53-19,913.800,23.75
2025-04-27_02-53-19,913.800,16.84
2025-04-27_02-53-20,913.800,27.29
2025-04-27_02-53-20,913.800,20.03
2025-04-27_02-53-21,913.800,21.80
2025-04-27_02-53-21,913.800,19.43
2025-04-27_02-53-21,913.800,15.49
2025-04-27_02-53-22,913.800,16.99
2025-04-27_02-53-22,913.800,22.28
2025-04-27_02-53-23,913.800,22.53
2025-04-27_02-53-23,913.800,24.63
2025-04-27_02-53-23,913.800,15.68
2025-04-27_02-53-24,913.800,14.49
2025-04-27_02-53-24,913.800,17.38
2025-04-27_02-53-25,913.800,24.77
2025-04-27_02-53-25,913.800,16.61
2025-04-27_02-53-25,913.800,8.55
2025-04-27_02-53-26,913.800,23.54
2025-04-27_02-53-26,913.800,14.56
2025-04-27_02-53-27,913.800,12.64
2025-04-27_02-53-27,913.800,18.00
2025-04-27_02-53-27,913.800,18.46
2025-04-27_02-53-28,913.800,22.43
2025-04-27_02-53-28,913.800,27.37
2025-04-27_02-53-29,913.800,24.45
2025-04-27_02-53-29,913.800,19.79
2025-04-27_02-53-29,913.800,5.99
2025-04-27_02-53-30,913.800,19.10
2025-04-27_02-53-30,913.800,11.10
2025-04-27_02-53-31,913.800,19.23
2025-04-27_02-53-31,913.800,20.92
2025-04-27_02-53-31,913.800,3.41
2025-04-27_02-53-32,913.800,28.76
2025-04-27_02-53-32,913.800,23.25
2025-04-27_02-53-33,913.800,17.53
2025-04-27_02-53-33,913.800,19.31
2025-04-27_02-53-33,913.800,8.26
2025-04-27_02-53-34,913.800,10.70
2025-04-27_02-53-34,913.800,15.66
2025-04-27_02-53-35,913.800,14.74
2025-04-27_02-53-35,913.800,18.30
2025-04-27_02-53-35,913.800,27.27
2025-04-27_02-53-36,913.800,27.40
2025-04-27_02-53-36,913.800,21.05
2025-04-27_02-53-37,913.800,17.81
2025-04-27_02-53-37,913.800,17.73
2025-04-27_02-53-37,913.800,9.27
2025-04-27_02-53-38,913.800,23.11
2025-04-27_02-53-38,913.800,16.89
2025-04-27_02-53-39,913.800,19.05
2025-04-27_02-53-39,913.800,18.51
2025-04-27_02-53-39,913.800,14.64
2025-04-27_02-53-40,913.800,16.29
2025-04-27_02-53-40,913.800,24.54
2025-04-27_02-53-41,913.800,8.75
2025-04-27_02-53-41,913.800,9.72
2025-04-27_02-53-41,913.800,13.11
2025-04-27_02-53-56,913.800,22.21
2025-04-27_02-53-56,913.800,16.38
2025-04-27_02-53-57,913.800,24.34
2025-04-27_02-53-57,913.800,33.10
2025-04-27_02-53-57,913.800,32.15
2025-04-27_02-53-58,913.800,22.22
2025-04-27_02-53-58,913.800,29.86
2025-04-27_02-53-59,913.800,23.10
2025-04-27_02-53-59,913.800,20.33
2025-04-27_02-53-59,913.800,7.51
2025-04-27_02-54-00,913.800,20.03
2025-04-27_02-54-00,913.800,7.34
2025-04-27_02-54-01,913.800,24.84
2025-04-27_02-54-01,913.800,8.13
2025-04-27_02-54-02,913.800,22.34
2025-04-27_02-54-02,913.800,26.67
2025-04-27_02-54-02,913.800,14.80
2025-04-27_02-54-03,913.800,14.62
2025-04-27_02-54-03,913.800,19.97
2025-04-27_02-54-04,913.800,15.83
2025-04-27_02-54-04,913.800,14.55
2025-04-27_02-54-04,913.800,21.76
2025-04-27_02-54-05,913.800,25.83
2025-04-27_02-54-05,913.800,24.25
2025-04-27_02-54-06,913.800,13.83
2025-04-27_02-54-06,913.800,22.75
2025-04-27_02-54-06,913.800,17.23
2025-04-27_02-54-07,913.800,24.64
2025-04-27_02-54-07,913.800,21.74
2025-04-27_02-54-08,913.800,20.92
2025-04-27_02-54-08,913.800,18.57
2025-04-27_02-54-09,913.800,18.63
2025-04-27_02-54-09,913.800,22.28
2025-04-27_02-54-09,913.800,28.47
2025-04-27_02-54-10,913.800,19.79
2025-04-27_02-54-10,913.800,18.96
2025-04-27_02-54-11,913.800,22.24
2025-04-27_02-54-11,913.800,20.07
2025-04-27_02-54-11,913.800,19.51
2025-04-27_02-54-12,913.800,14.74
2025-04-27_02-54-12,913.800,17.35
2025-04-27_02-54-13,913.800,22.00
2025-04-27_02-54-13,913.800,21.14
2025-04-27_02-54-14,913.800,0.31
2025-04-27_02-54-14,913.800,14.90
2025-04-27_02-54-14,913.800,9.02
2025-04-27_02-54-15,913.800,18.37
2025-04-27_02-54-15,913.800,25.78
2025-04-27_02-54-16,913.800,-0.30
2025-04-27_02-54-16,913.800,26.22
2025-04-27_02-54-16,913.800,5.28
2025-04-27_02-54-17,913.800,22.82
2025-04-27_02-54-17,913.800,9.40
2025-04-27_02-54-18,913.800,16.65
2025-04-27_02-54-18,913.800,20.61
2025-04-27_02-54-19,913.800,26.90
2025-04-27_02-54-19,913.800,25.72
2025-04-27_02-54-19,913.800,18.24
2025-04-27_02-54-20,913.800,16.15
2025-04-27_02-54-20,913.800,23.29
2025-04-27_02-54-21,913.800,17.42
2025-04-27_02-54-21,913.800,18.35
2025-04-27_02-54-21,913.800,10.62
2025-04-27_02-54-22,913.800,20.76
2025-04-27_02-54-22,913.800,23.63
2025-04-27_02-54-23,913.800,16.30
2025-04-27_02-54-23,913.800,8.74
2025-04-27_02-54-24,913.800,19.69
2025-04-27_02-54-24,913.800,21.52
2025-04-27_02-54-24,913.800,14.17
2025-04-27_02-54-25,913.800,18.57
2025-04-27_02-54-25,913.800,22.98
2025-04-27_02-54-26,913.800,-1.20
2025-04-27_02-54-26,913.800,10.57
2025-04-27_02-54-26,913.800,7.67
2025-04-27_02-54-27,913.800,6.55
2025-04-27_02-54-27,913.800,17.63
2025-04-27_02-54-28,913.800,28.78
2025-04-27_02-54-28,913.800,21.48
2025-04-27_02-54-29,913.800,26.48
2025-04-27_02-54-46,913.800,12.84
2025-04-27_02-54-46,913.800,18.63
2025-04-27_02-54-47,913.800,22.35
2025-04-27_02-54-47,913.800,28.76
2025-04-27_02-54-47,913.800,23.78
2025-04-27_02-54-48,913.800,20.51
2025-04-27_02-54-48,913.800,12.03
2025-04-27_02-54-49,913.800,17.41
2025-04-27_02-54-49,913.800,7.65
2025-04-27_02-54-50,913.800,21.25
2025-04-27_02-54-50,913.800,23.51
2025-04-27_02-54-50,913.800,16.74
2025-04-27_02-54-51,913.800,20.46
2025-04-27_02-54-51,913.800,17.32
2025-04-27_02-54-52,913.800,13.30
2025-04-27_02-54-52,913.800,21.09
2025-04-27_02-54-53,913.800,17.93
2025-04-27_02-54-53,913.800,20.75
2025-04-27_02-54-53,913.800,24.72
2025-04-27_02-54-54,913.800,16.79
2025-04-27_02-54-54,913.800,28.06
2025-04-27_02-54-55,913.800,16.17
2025-04-27_02-54-55,913.800,24.05
2025-04-27_02-54-55,913.800,12.57
2025-04-27_02-54-56,913.800,21.81
2025-04-27_02-54-56,913.800,12.21
2025-04-27_02-54-57,913.800,3.69
2025-04-27_02-54-57,913.800,17.92
2025-04-27_02-54-58,913.800,22.35
2025-04-27_02-54-58,913.800,23.23
2025-04-27_02-54-58,913.800,13.11
2025-04-27_02-54-59,913.800,24.05
2025-04-27_02-54-59,913.800,21.99
2025-04-27_02-55-00,913.800,18.36
2025-04-27_02-55-00,913.800,14.45
2025-04-27_02-55-01,913.800,17.57
2025-04-27_02-55-01,913.800,13.26
2025-04-27_02-55-01,913.800,17.24
2025-04-27_02-55-02,913.800,24.63
2025-04-27_02-55-02,913.800,25.65
2025-04-27_02-55-03,913.800,22.21
2025-04-27_02-55-03,913.800,25.47
2025-04-27_02-55-04,913.800,28.41
2025-04-27_02-55-04,913.800,18.00
2025-04-27_02-55-04,913.800,21.53
2025-04-27_02-55-05,913.800,23.98
2025-04-27_02-55-05,913.800,23.51
2025-04-27_02-55-06,913.800,16.89
2025-04-27_02-55-06,913.800,19.87
2025-04-27_02-55-06,913.800,27.30
2025-04-27_02-55-07,913.800,27.98
2025-04-27_02-55-07,913.800,13.67
2025-04-27_02-55-08,913.800,23.37
2025-04-27_02-55-08,913.800,19.00
2025-04-27_02-55-09,913.800,26.32
2025-04-27_02-55-09,913.800,23.67
2025-04-27_02-55-10,913.800,18.71
2025-04-27_02-55-10,913.800,24.75
2025-04-27_02-55-10,913.800,24.37
2025-04-27_02-55-11,913.800,10.91
2025-04-27_02-55-11,913.800,2.43
2025-04-27_02-55-12,913.800,22.68
2025-04-27_02-55-12,913.800,17.89
2025-04-27_02-55-12,913.800,24.17
2025-04-27_02-55-13,913.800,11.32
2025-04-27_02-55-13,913.800,25.68
2025-04-27_02-55-14,913.800,23.59
2025-04-27_02-55-14,913.800,18.53
2025-04-27_02-55-15,913.800,27.10
2025-04-27_02-55-15,913.800,24.68
2025-04-27_02-55-15,913.800,19.05
2025-04-27_02-55-16,913.800,19.94
2025-04-27_02-55-16,913.800,19.43
2025-04-27_02-55-17,913.800,21.15
2025-04-27_02-55-17,913.800,21.27
2025-04-27_02-55-18,913.800,17.01
2025-04-27_02-55-18,913.800,20.23
2025-04-27_02-55-19,913.800,33.39
2025-04-27_02-55-19,913.800,23.24
2025-04-27_02-55-19,913.800,17.85
2025-04-27_02-55-20,913.800,16.30
2025-04-27_02-55-20,913.800,14.43
2025-04-27_02-55-21,913.800,20.49
2025-04-27_02-55-21,913.800,13.20
2025-04-27_02-55-22,913.800,28.89
2025-04-27_02-55-22,913.800,20.51
2025-04-27_02-55-22,913.800,24.62
2025-04-27_02-55-43,913.800,28.16
2025-04-27_02-55-43,913.800,22.71
2025-04-27_02-55-44,913.800,18.81
2025-04-27_02-55-44,913.800,24.53
2025-04-27_02-55-45,913.800,24.26
2025-04-27_02-55-45,913.800,7.98
2025-04-27_02-55-46,913.800,20.71
2025-04-27_02-55-46,913.800,7.81
2025-04-27_02-55-46,913.800,10.82
2025-04-27_02-55-47,913.800,26.30
2025-04-27_02-55-47,913.800,18.03
2025-04-27_02-55-48,913.800,11.87
2025-04-27_02-55-48,913.800,15.58
2025-04-27_02-55-49,913.800,13.06
2025-04-27_02-55-49,913.800,18.58
2025-04-27_02-55-49,913.800,23.24
2025-04-27_02-55-50,913.800,15.70
2025-04-27_02-55-50,913.800,18.45
2025-04-27_02-55-51,913.800,25.35
2025-04-27_02-55-51,913.800,26.92
2025-04-27_02-55-52,913.800,24.02
2025-04-27_02-55-52,913.800,11.72
2025-04-27_02-55-53,913.800,19.75
2025-04-27_02-55-53,913.800,22.21
2025-04-27_02-55-53,913.800,22.58
2025-04-27_02-55-57,913.800,15.45
2025-04-27_02-55-57,913.800,20.41
2025-04-27_02-55-58,913.800,14.19
2025-04-27_02-55-58,913.800,18.72
2025-04-27_02-55-59,913.800,17.49
2025-04-27_02-55-59,913.800,20.17
2025-04-27_02-55-59,913.800,19.54
2025-04-27_02-56-00,913.800,28.50
2025-04-27_02-56-00,913.800,20.83
2025-04-27_02-56-01,913.800,22.22
2025-04-27_02-56-01,913.800,15.14
2025-04-27_02-56-02,913.800,14.39
2025-04-27_02-56-02,913.800,16.65
2025-04-27_02-56-03,913.800,21.16
2025-04-27_02-56-03,913.800,16.46
2025-04-27_02-56-03,913.800,10.41
2025-04-27_02-56-04,913.800,24.48
2025-04-27T08-08-22Z,913.800,23.70
2025-04-27T08-08-24Z,913.800,20.27
2025-04-27T08-08-26Z,913.800,12.25
2025-04-27T08-08-31Z,913.800,22.94
2025-04-27T08-08-35Z,913.800,18.87
2025-04-27T08-08-39Z,913.800,19.37
2025-04-27T08-08-44Z,913.800,24.63
2025-04-27T08-08-48Z,913.800,25.32
2025-04-27T08-08-50Z,913.800,23.52
2025-04-27T08-08-55Z,913.800,27.16
2025-04-27T08-08-59Z,913.800,16.49
2025-04-27T08-09-03Z,913.800,16.32
2025-04-27T08-09-07Z,913.800,21.20
2025-04-27T08-09-08Z,913.800,22.24
2025-04-27T08-09-08Z,913.800,19.68
2025-04-27T08-09-10Z,913.800,8.99
2025-04-27T08-09-13Z,913.800,30.31
2025-04-27T08-09-13Z,913.800,26.37
2025-04-27T08-09-17Z,913.800,22.99
2025-04-27T08-09-18Z,913.800,26.81
2025-04-27T08-09-18Z,913.800,19.15
2025-04-27T08-09-23Z,913.800,12.68
2025-04-27T08-09-25Z,913.800,24.43
2025-04-27T08-09-29Z,913.800,28.24
2025-04-27T08-19-27Z,913.800,18.31
2025-04-27T08-19-31Z,913.800,26.67
2025-04-27T08-19-33Z,913.800,21.88
2025-04-27T08-19-37Z,913.800,9.75
2025-04-27T08-19-42Z,913.800,14.29
2025-04-27T08-19-44Z,913.800,21.89
2025-04-27T08-19-48Z,913.800,27.18
